,event_id,n_pulses,train,validate
0,24,61,1,0
1,41,51,1,0
2,59,36,1,0
3,67,142,1,0
5,77,50,1,0
7,82,45,1,0
8,121,41,1,0
9,127,43,1,0
10,140,92,1,0
11,221,62,1,0
13,290,49,1,0
14,325,68,1,0
15,354,53,1,0
16,360,117,1,0
17,402,52,1,0
18,406,75,1,0
19,410,49,1,0
20,422,42,1,0
21,435,72,1,0
24,451,57,1,0
25,455,53,1,0
26,472,53,1,0
27,481,42,1,0
28,497,32,1,0
29,538,54,1,0
30,595,109,1,0
32,663,63,1,0
36,734,71,1,0
37,761,60,1,0
38,769,116,1,0
39,774,67,1,0
40,793,95,1,0
41,794,42,1,0
42,837,35,1,0
43,845,55,1,0
45,908,51,1,0
46,914,145,1,0
47,932,37,1,0
48,935,38,1,0
50,959,34,1,0
51,961,39,1,0
52,965,38,1,0
53,984,58,1,0
55,997,32,1,0
56,1002,58,1,0
57,1007,114,1,0
58,1027,71,1,0
60,1091,85,1,0
61,1093,105,1,0
62,1095,37,1,0
63,1112,75,1,0
64,1129,115,1,0
65,1132,49,1,0
66,1145,44,1,0
67,1150,52,1,0
71,1230,49,1,0
72,1240,59,1,0
74,1248,59,1,0
75,1286,54,1,0
76,1326,74,1,0
78,1335,73,1,0
79,1353,65,1,0
80,1369,72,1,0
81,1382,170,1,0
82,1401,56,1,0
83,1403,98,1,0
84,1406,54,1,0
85,1408,50,1,0
86,1427,66,1,0
88,1439,50,1,0
90,1499,91,1,0
91,1501,63,1,0
92,1508,44,1,0
93,1531,77,1,0
94,1536,176,1,0
96,1542,50,1,0
97,1559,115,1,0
98,1568,69,1,0
99,1583,120,1,0
100,1612,75,1,0
102,1636,84,1,0
103,1642,78,1,0
104,1661,105,1,0
106,1679,68,1,0
107,1687,45,1,0
108,1749,62,1,0
109,1764,42,1,0
114,1828,54,1,0
115,1849,95,1,0
116,1889,49,1,0
118,1930,134,1,0
119,1935,59,1,0
120,1949,177,1,0
122,1979,34,1,0
125,2078,45,1,0
126,2121,92,1,0
130,2170,41,1,0
132,2223,58,1,0
133,2230,129,1,0
134,2251,82,1,0
135,2292,42,1,0
137,2307,74,1,0
138,2325,98,1,0
139,2330,73,1,0
140,2332,69,1,0
141,2345,42,1,0
146,2390,160,1,0
147,2395,66,1,0
148,2405,59,1,0
149,2431,52,1,0
150,2469,182,1,0
152,2476,76,1,0
154,2496,68,1,0
155,2511,45,1,0
156,2543,65,1,0
157,2544,41,1,0
158,2590,61,1,0
159,2610,78,1,0
160,2661,53,1,0
161,2671,35,1,0
162,2673,78,1,0
163,2711,55,1,0
165,2743,45,1,0
166,2772,190,1,0
167,2781,37,1,0
168,2800,89,1,0
169,2814,104,1,0
171,2833,91,1,0
172,2843,78,1,0
173,2880,41,1,0
174,2898,46,1,0
175,2932,105,1,0
176,2934,63,1,0
177,2948,65,1,0
178,2962,187,1,0
179,2967,44,1,0
181,3007,178,1,0
182,3015,41,1,0
184,3110,34,1,0
185,3113,115,1,0
187,3129,77,1,0
189,3137,74,1,0
190,3146,53,1,0
191,3152,40,1,0
192,3157,32,1,0
193,3158,81,1,0
194,3164,45,1,0
196,3208,50,1,0
199,3276,38,1,0
200,3288,46,1,0
202,3302,93,1,0
203,3339,81,1,0
205,3355,86,1,0
207,3373,52,1,0
209,3401,47,1,0
210,3410,70,1,0
211,3433,41,1,0
214,3489,61,1,0
215,3576,66,1,0
216,3577,59,1,0
217,3592,37,1,0
218,3602,48,1,0
219,3610,59,1,0
220,3616,82,1,0
221,3643,63,1,0
222,3658,49,1,0
223,3668,79,1,0
224,3701,44,1,0
226,3730,144,1,0
228,3801,47,1,0
229,3823,59,1,0
230,3824,66,1,0
231,3833,108,1,0
232,3880,41,1,0
233,3894,73,1,0
234,3895,43,1,0
235,3902,55,1,0
236,3936,45,1,0
239,3953,47,1,0
240,3955,71,1,0
241,3964,36,1,0
243,4017,53,1,0
244,4022,56,1,0
245,4081,125,1,0
246,4148,36,1,0
247,4180,42,1,0
249,4206,42,1,0
250,4214,156,1,0
251,4225,74,1,0
252,4240,51,1,0
253,4257,68,1,0
254,4265,48,1,0
255,4288,70,1,0
257,4307,64,1,0
258,4330,66,1,0
259,4343,41,1,0
260,4351,52,1,0
263,4403,44,1,0
266,4425,69,1,0
267,4444,66,1,0
268,4452,133,1,0
269,4454,40,1,0
275,4561,42,1,0
276,4603,108,1,0
277,4614,52,1,0
278,4639,32,1,0
279,4656,182,1,0
280,4671,100,1,0
282,4727,40,1,0
283,4731,76,1,0
284,4734,50,1,0
287,4797,58,1,0
289,4866,64,1,0
290,4889,156,1,0
291,4890,53,1,0
292,4895,108,1,0
294,4914,61,1,0
295,4933,70,1,0
296,4936,58,1,0
299,5023,42,1,0
302,5076,146,1,0
303,5083,56,1,0
305,5142,53,1,0
309,5244,63,1,0
310,5261,42,1,0
311,5282,117,1,0
312,5283,72,1,0
313,5304,74,1,0
315,5327,41,1,0
317,5330,54,1,0
319,5340,162,1,0
324,5433,53,1,0
325,5436,37,1,0
326,5466,38,1,0
327,5476,48,1,0
328,5487,72,1,0
329,5515,87,1,0
330,5527,60,1,0
332,5589,38,1,0
333,5596,75,1,0
334,5603,54,1,0
335,5639,111,1,0
336,5641,48,1,0
337,5648,50,1,0
338,5676,77,1,0
339,5679,46,1,0
340,5729,75,1,0
341,5775,30,1,0
342,5829,53,1,0
343,5831,66,1,0
344,5847,57,1,0
345,5860,75,1,0
346,5869,60,1,0
347,5879,131,1,0
348,5908,182,1,0
352,5980,67,1,0
353,5992,181,1,0
356,6081,131,1,0
357,6086,105,1,0
358,6088,142,1,0
363,6226,34,1,0
364,6232,53,1,0
365,6243,99,1,0
366,6246,47,1,0
371,6299,49,1,0
372,6319,106,1,0
373,6324,83,1,0
374,6333,66,1,0
375,6335,104,1,0
377,6357,111,1,0
379,6381,38,1,0
380,6392,45,1,0
381,6396,98,1,0
383,6480,85,1,0
385,6508,192,1,0
386,6514,44,1,0
387,6532,28,1,0
388,6545,55,1,0
389,6554,53,1,0
390,6560,114,1,0
392,6617,31,1,0
393,6629,51,1,0
395,6669,37,1,0
396,6671,46,1,0
397,6718,85,1,0
398,6743,75,1,0
399,6756,68,1,0
400,6760,94,1,0
402,6774,32,1,0
403,6779,36,1,0
404,6784,45,1,0
405,6825,68,1,0
406,6829,53,1,0
407,6840,39,1,0
408,6848,39,1,0
409,6907,128,1,0
410,6910,47,1,0
411,6936,96,1,0
412,6937,79,1,0
413,6943,146,1,0
414,6947,43,1,0
415,6961,54,1,0
417,6984,92,1,0
418,7000,65,1,0
420,7033,64,1,0
421,7040,79,1,0
422,7042,67,1,0
424,7057,76,1,0
426,7073,109,1,0
427,7075,45,1,0
429,7129,43,1,0
430,7140,51,1,0
431,7145,43,1,0
432,7156,74,1,0
433,7166,37,1,0
434,7171,72,1,0
435,7180,43,1,0
437,7210,102,1,0
438,7215,69,1,0
439,7250,46,1,0
440,7261,46,1,0
441,7263,59,1,0
442,7271,146,1,0
443,7272,53,1,0
444,7273,39,1,0
445,7293,70,1,0
446,7297,69,1,0
448,7303,67,1,0
449,7305,188,1,0
451,7328,44,1,0
453,7391,91,1,0
454,7403,78,1,0
455,7404,51,1,0
457,7417,98,1,0
458,7418,110,1,0
459,7423,75,1,0
460,7451,111,1,0
461,7500,103,1,0
462,7502,72,1,0
463,7564,86,1,0
465,7612,88,1,0
467,7633,50,1,0
468,7642,71,1,0
469,7659,40,1,0
